run_accession	clone	tissue	timepoint	sample_name
SRR22045439	ARS1	ctrl	T0	YM3-T0-1
SRR22045441	ARS1	ctrl	T0	YM3-T0-2
SRR22045440	ARS1	ctrl	T0	YM3-T0-3
SRR22045436	ARS7	ctrl	T0	196-T0-1
SRR22045437	ARS7	ctrl	T0	196-T0-2
SRR22045438	ARS7	ctrl	T0	196-T0-3
SRR22045457	ARS1	ROOT	24h	YM3-R-24h-1
SRR22045446	ARS1	ROOT	24h	YM3-R-24h-2
SRR22045458	ARS1	ROOT	24h	YM3-R-24h-3
SRR22045430	ARS1	GRAFT	24h	YM3-G-24h-1
SRR22045431	ARS1	GRAFT	24h	YM3-G-24h-2
SRR22045432	ARS1	GRAFT	24h	YM3-G-24h-3
SRR22045433	ARS1	ROOT	120h	YM3-R-120h-1
SRR22045434	ARS1	ROOT	120h	YM3-R-120h-2
SRR22045435	ARS1	ROOT	120h	YM3-R-120h-3
SRR22045429	ARS1	GRAFT	120h	YM3-G-120h-1
SRR22045455	ARS1	GRAFT	120h	YM3-G-120h-2
SRR22045456	ARS1	GRAFT	120h	YM3-G-120h-3
SRR22045452	ARS7	ROOT	24h	196-R-24h-1
SRR22045454	ARS7	ROOT	24h	196-R-24h-2
SRR22045453	ARS7	ROOT	24h	196-R-24h-3
SRR22045445	ARS7	GRAFT	24h	196-G-24h-1
SRR22045447	ARS7	GRAFT	24h	196-G-24h-2
SRR22045448	ARS7	GRAFT	24h	196-G-24h-3
SRR22045449	ARS7	ROOT	120h	196-R-120h-1
SRR22045450	ARS7	ROOT	120h	196-R-120h-2
SRR22045451	ARS7	ROOT	120h	196-R-120h-3
SRR22045443	ARS7	GRAFT	120h	196-G-120h-1
SRR22045442	ARS7	GRAFT	120h	196-G-120h-2
SRR22045444	ARS7	GRAFT	120h	196-G-120h-3
